# Fourier-transform spectra: 
# sigma: Conductivity
# eps: Dielectric constant
# 1:Energy[eV] 2:Re(sigma_x)[1/fs*V*Angstrom] 3:Re(sigma_y)[1/fs*V*Angstrom] 4:Re(sigma_z)[1/fs*V*Angstrom] 5:Im(sigma_x)[1/fs*V*Angstrom] 6:Im(sigma_y)[1/fs*V*Angstrom] 7:Im(sigma_z)[1/fs*V*Angstrom] 8:Re(eps_x)[none] 9:Re(eps_y)[none] 10:Re(eps_z)[none] 11:Im(eps_x)[none] 12:Im(eps_y)[none] 13:Im(eps_z)[none]
      0.67000000 -0.804930003344044E-003 -0.430056408579188E-002  0.162213912700803E-001 -0.262653332214365E-003  0.226034118494688E-002 -0.425885987901964E-001  0.108823367895311E+001  0.240678895045069E+000  0.153068763721235E+002 -0.270401806426820E+000 -0.144469741793858E+001  0.544928563224545E+001
      0.68000000 -0.678297818570577E-003 -0.429954967939877E-002  0.164360114587728E-001 -0.272570081123769E-003  0.217440477197850E-002 -0.432227989264166E-001  0.109021848839080E+001  0.280289638287344E+000  0.153063962379275E+002 -0.224511082133131E+000 -0.142311610737774E+001  0.544018662235706E+001
      0.69000000 -0.588718384913181E-003 -0.429758495994032E-002  0.167062737643154E-001 -0.236230383659519E-003  0.205524064215208E-002 -0.437893015397833E-001  0.107705714959113E+001  0.329590956274476E+000  0.152838474330455E+002 -0.192036942710515E+000 -0.140185035476230E+001  0.544950152738501E+001
      0.70000000 -0.545998263318665E-003 -0.426482367882999E-002  0.169787223589607E-001 -0.181913036909392E-003  0.191453395658286E-002 -0.442712749446094E-001  0.105849140582645E+001  0.384410350541414E+000  0.152347637818234E+002 -0.175557544103964E+000 -0.137129002305058E+001  0.545925326070594E+001
      0.71000000 -0.545444408381148E-003 -0.418625646852997E-002  0.172034791911791E-001 -0.134240070675253E-003  0.177990044085954E-002 -0.446845274697465E-001  0.104255495140530E+001  0.435760303268236E+000  0.151652778151773E+002 -0.172909327119663E+000 -0.132706977650057E+001  0.545361170699779E+001
      0.72000000 -0.574296626783672E-003 -0.406779335986421E-002  0.173513684274229E-001 -0.109167488977873E-003  0.168302383820041E-002 -0.450686368930104E-001  0.103412613465188E+001  0.473880926798762E+000  0.150886117798233E+002 -0.179527111956475E+000 -0.127160627430820E+001  0.542409778673727E+001
      0.73000000 -0.618012173589748E-003 -0.393475074242346E-002  0.174229336640493E-001 -0.114131189747521E-003  0.164670183099188E-002 -0.454700872493758E-001  0.103518906763089E+001  0.492286882955722E+000  0.150193927614389E+002 -0.190546267162137E+000 -0.121316714819269E+001  0.537186015837601E+001
      0.74000000 -0.663509831466106E-003 -0.382349328003987E-002  0.174460086470896E-001 -0.151044982506287E-003  0.167488141228297E-002 -0.459232720969749E-001  0.104594104387062E+001  0.490576918458179E+000  0.149677798168626E+002 -0.201809644850039E+000 -0.116293351558389E+001  0.530628581846372E+001
      0.75000000 -0.699165210322550E-003 -0.376877566798284E-002  0.174623410987943E-001 -0.218950527851293E-003  0.174877710092122E-002 -0.464364809850678E-001  0.106570690463701E+001  0.475193180261923E+000  0.149355563912424E+002 -0.209819004553291E+000 -0.113100701717698E+001  0.524043669854330E+001
      0.76000000 -0.713592329707323E-003 -0.379051160488278E-002  0.175080510610533E-001 -0.314402662484135E-003  0.183059799683739E-002 -0.469887796654800E-001  0.109311055136489E+001  0.457867222032215E+000  0.149157574177253E+002 -0.211330828892576E+000 -0.112256245763650E+001  0.518502061890643E+001
